A̱o,Nacimientos,Defunciones
1950,37248,9769
1951,39239,9631
1952,42461,9902
1953,42817,10312
1954,48157,9713
1955,48903,9998
1956,51481,9518
1957,51749,10471
1958,53899,9692
1959,60414,10176
1960,62794,10063
1961,68377,9726
1962,65349,10861
1963,66776,11376
1964,65433,12269
1965,66836,11649
1966,65300,11379
1967,63979,11214
1968,59213,10653
1969,57984,11599
1970,57757,11504
1971,56338,10575
1972,57438,10855
1973,53455,9702
1974,56769,9512
1975,58140,9615
1976,59965,9356
1977,64188,8907
1978,67658,8596
1979,69246,9114
1980,69989,9232
1981,72255,8941
1982,73111,9137
1983,72944,9392
1984,76878,9893
1985,84337,10465
1986,83194,10449
1987,80326,10687
1988,81376,10944
1989,83460,11273
1990,81939,11359
1991,81110,11792
1992,80164,12253
1993,79714,12543
1994,80391,13313
1995,80306,14061
1996,79203,14613
1997,78018,14260
1998,76982,14708
1999,78526,15052
2000,78178,14944
2001,76401,15609
2002,71144,15004
2003,72938,15800
2004,72247,15949
2005,71548,16139
2006,71291,16766
2007,73144,17070
2008,75187,18021
2009,75000,18560
2010,70922,19077
2011,73459,18801
2012,73326,19200
2013,70550,19646
2014,71793,20560
2015,71819,21038
2016,70004,22601
2017,68811,23246
2018,68449,23806
2019,64274,24292
2020,57848,26205
2021,54288,31093
